1100-060;R.OURO,49-4
1100-063;Rua Áurea,120 LISBOA
1100-077;RUA BARROS QUEIROS, Nº 20 1º ESQ.
1100-184;RUA DO CRUCIFIXO, Nº 76 -3º Sala 0
1100-229;LIANE_ESC. - Rua dos Fanqueiros, Nº146
1100-340;CALCADA MARQUES.TANCOS,2
1100-365;PR.MUN.-PACOS CONCELHO,1
1100-411;Largo das Portas do Sol
1100-548;RUA SÃO NICOLAU, N.º 121 - 1.º
1100-576;RUA DOS SAPATEIROS 39, 4º ESQ.
1149-031;POLLUX_PISO_IT - Rua dos Fanqueiros - Nº
1149-049;ESCADINHAS S.CRISPIM n.7
1149-079;COSTA DO CASTELO 1
1150-006;Rua Alexandre Herculano nº6
1150-011;AV. ALMIRANTE REIS 65A
1150-101;RUA CONDE REDONDO 13
1150-102;R.CONDE REDONDO, 61 - 3ºA
1150-106;Rua Conde de Redondo, n.ºs 10 e 10 A LIS
1150-248;R Padre Luis Aparicio 9
1150-279;RUA RODRIGUES SAMPAIO 97- 4º
1150-320;LARGO DE SÃO DOMINGOS
1169-005;TRAVESSA CRUZ TOREL,1
1169-148;TRAV. DA ESCOLA ARAUJO 15
1169-149;TRAV. DA ESCOLA ARAUJO 15
1170-014;RUA ANDRADE, N.º 41 A
1170-070;Travessa do Calado n.º 2
1170-193;RUA JOSÉ FALCÃO Nº 34 - A
1170-275;RUA NEWTON 5
1170-278;Praça Olegário Mariano, 4 - 3º Esq.
1199-018;AV. CORONEL EDUARDO GALHARDO, 22B
1200-000;Rua de São Marçal - Nº7
1200-003;RUA DA ACADEMIA DAS CIENCIAS, Nº7 ANEXO
1200-094;R. DO CARMO 2
1200-131;Travessa do Corpo Santo, 10 - 1.º esq.
1200-151;RUA D. LUIS I 6
1200-153;Largo Dr. António de Sousa de Macedo - N
1200-204;R. GARRET,64
1200-225;Rua Instituto industrial nº18 E
1200-236;R.JOAO PEREIRA DA ROSA 22
1200-246;RUA LUZ SORIANO, 67-2º E
1200-288;R.NOVA ALMADA,53-2.
1200-300;Calçada Nova de São Francisco 10
1200-301;RUA NOVA DA TRINDADE Nº 1 3º DTO
1200-371;RUA DOS REMOLARES, 14- 2º
1200-426;RUA SÃO PAULO Nº39 E 41
1200-470;LG.TRINDADE COELHO,1
1200-478;AV.24 JULHO,32/38-P.0
1200-482;RUA VITOR CORDON, N.º 37-3.º ESQ.
1200-647;AV. D. CARLOS I N89 R/C
1200-660;Rua da Esperança, Nº146
1200-668;RUA DA ESTRELA N.º 21
1200-707;R.MACHADINHO,20
1200-718;RUA DO QUELHAS Nº 32/44
1200-777;R.PRIOR,6 
1200-826;RUA S. BERNARDO, 60 C
1200-858;Avenida 24 de Julho
1200-868;AV. DOM CARLOS I N.º 15, 1.º ANDAR
1200-869;Av 24 de Julho 68, E
1200-870;AV.24 JULHO,98
1200-872;LARGO VITORINO DAMASIO 3C
1249-003;TRAVESSA DO CARVALHO 23
1249-038;RUA DA MISERICORDIA, 20 LOJA 9
1249-058;LG.AC.NAC.BELAS ARTES
1249-093;R.TRINAS,49
1249-130;R.SÃO DOMINGOS LAPA,35
1249-202;RUA VICTOR CORDON Nº 10 A - 4º E 5º
1250-008;RUA ALEXANDRE HERCULANO 23- 2º
1250-010;AV. ALVARES CABRAL 61- 4º
1250-011;RUA ALEXANDRE HERCULANO, N.º 26 - 2.º DR
1250-017;Av. Alvares Cabral, 4º 61
1250-047;Rua do Borja, 6
1250-049;Rua Braamcamp 15-A/B
1250-050;RUA BRAANCAMP Nº 40 10º
1250-051;R BRAAMCAMP N 52 3 ESQ
1250-068;Rua Castilho  3DT nº 57
1250-071;R. CASTILHO, N.º 44 - 9.º
1250-091;R.D.JOAO V,30-2.
1250-098;Rua Duque de Palmela - Nº2 - 5º Dtº
1250-100;R.ESC.POLITECNICA,135
1250-106;TR.FABRICA DOS PENTES,12-20
1250-133;RUA JOSHUA BENOLIEL, 6 9º/10ºB
1250-140;AV DA LIBERDADE N 131 6º
1250-142;AV DA LIBERDADE,195,Piso 14
1250-143;AV.LIBERDADE, 249-1
1250-145;AV.LIBERDADE, 38-1º
1250-146;AV DA LIBERDADE N 182
1250-149;AV.LIBERDADE,242-R/C
1250-172;R NOVA DE SÃO MAMEDE N 9
1250-188;PÇ DOS RESTAURADORES, 47 2.º
1250-195; R. Rosa Araújo n.8
1250-212;TRAVESSA DE SANTA QUITÉRIA, 34B
1269-056;RUA BARATA SALGUEIRO 30
1269-137;R.S.PEDRO ALCANTARA,75
1269-270;R. DUQUE PALMELA,11-GALERIA
1269-274;R.RODRIGO FONSECA,73
1269-276;Avenida Álvares Cabral 41
1294-109;C.DUQUE,20
1300-165;RUA DO CRUZEIRO, 16 LOJA  A - SUB/CAVE
1300-254;AV.CEUTA,BLC A
1300-307;PR.INDUSTRIAS-ED.AIP 2 piso
1300-329;RUA JOSE DIAS COELHO, 36B
1300-403;TRAVESSA DA MEMORIA 36
1300-456;RUA PEDRO CALMON 14
1300-474;RUA 1º DE MAIO 46
1300-501;RUA RODRIGUES  FARIA, Nº103 ESP.0.3, DIR
1300-609;COND. ALCÂNTARA RIO  LARGO DAS FONTAINHA
1300-661;R.EDUARDO BAIRRADA n.41
1349-017;Tapada da Ajuda, Botanica
1349-045;LARGO DA MEMÓRIA, 14
1349-050;R.SA NOGUEIRA,2 P.0
1350-047;Rua do Borja, nº 6
1350-133;Rua Ferreira Borges,60-68
1350-177;Avenida Infante Santo, 23 - 3º B
1350-178;AV. INFANTE DE SANTO, 2G PISO -2
1350-352;AV. BRASILIA - MUSEU ORIENTE
1350-410;Rua Quinta do Loureiro 13 Loja-2
1399-007;PRAÇA S. JOÃO BOSCO, 34
1400-028;RUA BARTOLOMEU DIAS, 76 B
1400-031;RUA BARTOLOMEU DIAS, N.º 172 D-1º
1400-038;AV. BRASILIA S/N
1400-210;RUA DOS JERÓNIMOS Nº3
1400-212;R. DOS JERONIMOS N 36 B
1400-239;PRAÇA DE MALACA 3
1400-342;AV. TORRE DE BELEM Nº 19 1º DTO
1495-046;RUA AFONSO PRAÇA, Nº 30 - 10 PISO
1495-049;R. D. ANTONIO RIBEIRO, 1A
1495-084;RUA LUÍS DE CAMÕES 111
1495-129;QTA DO LEONEL
1495-131;EDIF. ZENITH N 9 5º
1495-132;ALAM. ANT. SÉRGIO 22 R/C B
1495-137;RUA GENERAL FERREIRA MARTINS 1 LJ B
1495-139;AV J GOMES FERREIRA 15,ED ATLAS 4
1495-158;AV. DAS TULIPAS, Nº 6 - PISO 5
1495-190;Alameda Fernão Lopes 16A, 10º
1500-000;SITIO DO BARCAL 9
1500-030;R.ALFREDO GUISADO,8/10-P.3
1500-037;R.AMELIA REY COLACO,3-P
1500-081;AV. JOSE MALHOA, ESCRITORIO 1.6 N.º 2
1500-104;ESTRADA DE BENFICA 462E
1500-112;Estrada de Benfica, 732
1500-144;R.CAROLINA M.VASCONCELOS,6-P.0
1500-248;R. Dr. Pereira Bernardes 2-A
1500-255;R.DUARTE GALVAO,54
1500-370;R. JORGE BARRADAS, 18 A/B
1500-392;Avenida Lusíada  Lj.1021/22
1500-399;R. MAESTRO FREDERICO DE FREITAS 17B
1500-442;R.MARIANO PINA, 13 - LJ.
1500-499;R.PROF.JORGE S.HORTA,1-2.
1500-501;R. Professor Reinaldo dos Santos,7A
1500-541;RUA RAUL CARAPINHA
1500-580;RUA DOS SOEIROS N.Âº 305A
1500-581;Rua Soeiros,339 D
1500-592;CALÇADA DO TOJAL 99A
1500-599;R. TOMÁS DE FIGUEIREDO, 4 D
1500-650;AV. LUSIADA 100
1500-995;AV.LUSIADA,100
1549-008;R.DUARTE GALVAO,54 / Servico Raio X
1600-000;QTA AZULEJOS P LUMIAR
1600-008;CAMPO GRANDE HIPODROMO
1600-033;R.ACT.ANT.SILVA,7-6
1600-042;Av. dos Combatentes,  43 - 12º piso
